Date,Type,Subtype,Benefit Type,Numbers
20230601,Continuous duration,One year or less,Jobseeker Support,70365.0
20230601,Continuous duration,More than one year,Jobseeker Support,102762.0
20230601,Gender,Male,Jobseeker Support,96978.0
20230601,Gender,Female,Jobseeker Support,74880.0
20230601,Gender,Gender Diverse,Jobseeker Support,1269.0
20230601,Age group,18-24 years,Jobseeker Support,33720.0
20230601,Age group,25-39 years,Jobseeker Support,54756.0
20230601,Age group,40-54 years,Jobseeker Support,47697.0
20230601,Age group,55-64 years,Jobseeker Support,36957.0
20230601,Ethnic group,European,Jobseeker Support,82050.0
20230601,Ethnic group,Māori,Jobseeker Support,67029.0
20230601,Ethnic group,Pacific Peoples,Jobseeker Support,19929.0
20230601,Ethnic group,Asian,Jobseeker Support,9963.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Jobseeker Support,3345.0
20230601,Ethnic group,Other ethnicity,Jobseeker Support,6414.0
20230601,Ethnic group,Ethnicity not specified,Jobseeker Support,8241.0
20230601,Continuous duration,One year or less,Sole Parent Support,14640.0
20230601,Continuous duration,More than one year,Sole Parent Support,59526.0
20230601,Gender,Male,Sole Parent Support,6558.0
20230601,Gender,Female,Sole Parent Support,67575.0
20230601,Gender,Gender Diverse,Sole Parent Support,30.0
20230601,Age group,18-24 years,Sole Parent Support,9612.0
20230601,Age group,25-39 years,Sole Parent Support,47439.0
20230601,Age group,40-54 years,Sole Parent Support,16158.0
20230601,Age group,55-64 years,Sole Parent Support,960.0
20230601,Ethnic group,European,Sole Parent Support,30966.0
20230601,Ethnic group,Māori,Sole Parent Support,35796.0
20230601,Ethnic group,Pacific Peoples,Sole Parent Support,11202.0
20230601,Ethnic group,Asian,Sole Parent Support,2628.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Sole Parent Support,984.0
20230601,Ethnic group,Other ethnicity,Sole Parent Support,1218.0
20230601,Ethnic group,Ethnicity not specified,Sole Parent Support,3120.0
20230601,Continuous duration,One year or less,Supported Living Payment,6030.0
20230601,Continuous duration,More than one year,Supported Living Payment,94848.0
20230601,Gender,Male,Supported Living Payment,49602.0
20230601,Gender,Female,Supported Living Payment,51051.0
20230601,Gender,Gender Diverse,Supported Living Payment,225.0
20230601,Age group,18-24 years,Supported Living Payment,7794.0
20230601,Age group,25-39 years,Supported Living Payment,20634.0
20230601,Age group,40-54 years,Supported Living Payment,32136.0
20230601,Age group,55-64 years,Supported Living Payment,40320.0
20230601,Ethnic group,European,Supported Living Payment,60327.0
20230601,Ethnic group,Māori,Supported Living Payment,26844.0
20230601,Ethnic group,Pacific Peoples,Supported Living Payment,7467.0
20230601,Ethnic group,Asian,Supported Living Payment,3738.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Supported Living Payment,978.0
20230601,Ethnic group,Other ethnicity,Supported Living Payment,4224.0
20230601,Ethnic group,Ethnicity not specified,Supported Living Payment,6150.0
20230601,Continuous duration,One year or less,Youth Payment and Young Parent Payment,537.0
20230601,Continuous duration,More than one year,Youth Payment and Young Parent Payment,744.0
20230601,Gender,Male,Youth Payment and Young Parent Payment,105.0
20230601,Gender,Female,Youth Payment and Young Parent Payment,1170.0
20230601,Gender,Gender Diverse,Youth Payment and Young Parent Payment,6.0
20230601,Age group,18-24 years,Youth Payment and Young Parent Payment,1281.0
20230601,Age group,25-39 years,Youth Payment and Young Parent Payment,
20230601,Age group,40-54 years,Youth Payment and Young Parent Payment,
20230601,Age group,55-64 years,Youth Payment and Young Parent Payment,
20230601,Ethnic group,European,Youth Payment and Young Parent Payment,321.0
20230601,Ethnic group,Māori,Youth Payment and Young Parent Payment,747.0
20230601,Ethnic group,Pacific Peoples,Youth Payment and Young Parent Payment,186.0
20230601,Ethnic group,Asian,Youth Payment and Young Parent Payment,21.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Youth Payment and Young Parent Payment,12.0
20230601,Ethnic group,Other ethnicity,Youth Payment and Young Parent Payment,9.0
20230601,Ethnic group,Ethnicity not specified,Youth Payment and Young Parent Payment,132.0
20230601,Continuous duration,One year or less,Other Main Benefits,1239.0
20230601,Continuous duration,More than one year,Other Main Benefits,1068.0
20230601,Gender,Male,Other Main Benefits,927.0
20230601,Gender,Female,Other Main Benefits,1374.0
20230601,Gender,Gender Diverse,Other Main Benefits,9.0
20230601,Age group,18-24 years,Other Main Benefits,288.0
20230601,Age group,25-39 years,Other Main Benefits,933.0
20230601,Age group,40-54 years,Other Main Benefits,621.0
20230601,Age group,55-64 years,Other Main Benefits,465.0
20230601,Ethnic group,European,Other Main Benefits,642.0
20230601,Ethnic group,Māori,Other Main Benefits,624.0
20230601,Ethnic group,Pacific Peoples,Other Main Benefits,309.0
20230601,Ethnic group,Asian,Other Main Benefits,282.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Other Main Benefits,96.0
20230601,Ethnic group,Other ethnicity,Other Main Benefits,150.0
20230601,Ethnic group,Ethnicity not specified,Other Main Benefits,459.0
20230601,Continuous duration,One year or less,Total,92814.0
20230601,Continuous duration,More than one year,Total,258948.0
20230601,Gender,Male,Total,154170.0
20230601,Gender,Female,Total,196053.0
20230601,Gender,Gender Diverse,Total,1539.0
20230601,Age group,18-24 years,Total,52689.0
20230601,Age group,25-39 years,Total,123765.0
20230601,Age group,40-54 years,Total,96606.0
20230601,Age group,55-64 years,Total,78699.0
20230601,Ethnic group,European,Total,174306.0
20230601,Ethnic group,Māori,Total,131043.0
20230601,Ethnic group,Pacific Peoples,Total,39096.0
20230601,Ethnic group,Asian,Total,16629.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Total,5412.0
20230601,Ethnic group,Other ethnicity,Total,12009.0
20230601,Ethnic group,Ethnicity not specified,Total,18096.0
20221201,Continuous duration,One year or less,Jobseeker Support,67068.0
20221201,Continuous duration,More than one year,Jobseeker Support,103035.0
20221201,Gender,Male,Jobseeker Support,94440.0
20221201,Gender,Female,Jobseeker Support,74523.0
20221201,Gender,Gender Diverse,Jobseeker Support,1137.0
20221201,Age group,18-24 years,Jobseeker Support,33138.0
20221201,Age group,25-39 years,Jobseeker Support,53586.0
20221201,Age group,40-54 years,Jobseeker Support,47094.0
20221201,Age group,55-64 years,Jobseeker Support,36285.0
20221201,Ethnic group,European,Jobseeker Support,82368.0
20221201,Ethnic group,Māori,Jobseeker Support,65799.0
20221201,Ethnic group,Pacific Peoples,Jobseeker Support,18771.0
20221201,Ethnic group,Asian,Jobseeker Support,9699.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Jobseeker Support,3285.0
20221201,Ethnic group,Other ethnicity,Jobseeker Support,6126.0
20221201,Ethnic group,Ethnicity not specified,Jobseeker Support,7209.0
20221201,Continuous duration,One year or less,Sole Parent Support,14382.0
20221201,Continuous duration,More than one year,Sole Parent Support,59178.0
20221201,Gender,Male,Sole Parent Support,6375.0
20221201,Gender,Female,Sole Parent Support,67152.0
20221201,Gender,Gender Diverse,Sole Parent Support,36.0
20221201,Age group,18-24 years,Sole Parent Support,9714.0
20221201,Age group,25-39 years,Sole Parent Support,46725.0
20221201,Age group,40-54 years,Sole Parent Support,16149.0
20221201,Age group,55-64 years,Sole Parent Support,972.0
20221201,Ethnic group,European,Sole Parent Support,31125.0
20221201,Ethnic group,Māori,Sole Parent Support,35610.0
20221201,Ethnic group,Pacific Peoples,Sole Parent Support,10896.0
20221201,Ethnic group,Asian,Sole Parent Support,2592.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Sole Parent Support,969.0
20221201,Ethnic group,Other ethnicity,Sole Parent Support,1173.0
20221201,Ethnic group,Ethnicity not specified,Sole Parent Support,2907.0
20221201,Continuous duration,One year or less,Supported Living Payment,6294.0
20221201,Continuous duration,More than one year,Supported Living Payment,93747.0
20221201,Gender,Male,Supported Living Payment,49365.0
20221201,Gender,Female,Supported Living Payment,50496.0
20221201,Gender,Gender Diverse,Supported Living Payment,177.0
20221201,Age group,18-24 years,Supported Living Payment,7626.0
20221201,Age group,25-39 years,Supported Living Payment,20229.0
20221201,Age group,40-54 years,Supported Living Payment,32256.0
20221201,Age group,55-64 years,Supported Living Payment,39927.0
20221201,Ethnic group,European,Supported Living Payment,59919.0
20221201,Ethnic group,Māori,Supported Living Payment,26541.0
20221201,Ethnic group,Pacific Peoples,Supported Living Payment,7383.0
20221201,Ethnic group,Asian,Supported Living Payment,3729.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Supported Living Payment,990.0
20221201,Ethnic group,Other ethnicity,Supported Living Payment,4281.0
20221201,Ethnic group,Ethnicity not specified,Supported Living Payment,5808.0
20221201,Continuous duration,One year or less,Youth Payment and Young Parent Payment,531.0
20221201,Continuous duration,More than one year,Youth Payment and Young Parent Payment,819.0
20221201,Gender,Male,Youth Payment and Young Parent Payment,114.0
20221201,Gender,Female,Youth Payment and Young Parent Payment,1230.0
20221201,Gender,Gender Diverse,Youth Payment and Young Parent Payment,3.0
20221201,Age group,18-24 years,Youth Payment and Young Parent Payment,1350.0
20221201,Age group,25-39 years,Youth Payment and Young Parent Payment,
20221201,Age group,40-54 years,Youth Payment and Young Parent Payment,
20221201,Age group,55-64 years,Youth Payment and Young Parent Payment,
20221201,Ethnic group,European,Youth Payment and Young Parent Payment,321.0
20221201,Ethnic group,Māori,Youth Payment and Young Parent Payment,765.0
20221201,Ethnic group,Pacific Peoples,Youth Payment and Young Parent Payment,189.0
20221201,Ethnic group,Asian,Youth Payment and Young Parent Payment,15.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Youth Payment and Young Parent Payment,9.0
20221201,Ethnic group,Other ethnicity,Youth Payment and Young Parent Payment,12.0
20221201,Ethnic group,Ethnicity not specified,Youth Payment and Young Parent Payment,147.0
20221201,Continuous duration,One year or less,Other Main Benefits,7767.0
20221201,Continuous duration,More than one year,Other Main Benefits,1089.0
20221201,Gender,Male,Other Main Benefits,3168.0
20221201,Gender,Female,Other Main Benefits,5559.0
20221201,Gender,Gender Diverse,Other Main Benefits,126.0
20221201,Age group,18-24 years,Other Main Benefits,3828.0
20221201,Age group,25-39 years,Other Main Benefits,3243.0
20221201,Age group,40-54 years,Other Main Benefits,1194.0
20221201,Age group,55-64 years,Other Main Benefits,585.0
20221201,Ethnic group,European,Other Main Benefits,4320.0
20221201,Ethnic group,Māori,Other Main Benefits,2259.0
20221201,Ethnic group,Pacific Peoples,Other Main Benefits,1041.0
20221201,Ethnic group,Asian,Other Main Benefits,1320.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Other Main Benefits,453.0
20221201,Ethnic group,Other ethnicity,Other Main Benefits,465.0
20221201,Ethnic group,Ethnicity not specified,Other Main Benefits,753.0
20221201,Continuous duration,One year or less,Total,96036.0
20221201,Continuous duration,More than one year,Total,257865.0
20221201,Gender,Male,Total,153462.0
20221201,Gender,Female,Total,198963.0
20221201,Gender,Gender Diverse,Total,1479.0
20221201,Age group,18-24 years,Total,55653.0
20221201,Age group,25-39 years,Total,123789.0
20221201,Age group,40-54 years,Total,96693.0
20221201,Age group,55-64 years,Total,77769.0
20221201,Ethnic group,European,Total,178053.0
20221201,Ethnic group,Māori,Total,130974.0
20221201,Ethnic group,Pacific Peoples,Total,38283.0
20221201,Ethnic group,Asian,Total,17361.0
20221201,Ethnic group,Middle Eastern/Latin American/African,Total,5706.0
20221201,Ethnic group,Other ethnicity,Total,12060.0
20221201,Ethnic group,Ethnicity not specified,Total,16830.0
20220601,Continuous Duration,One year or less,Jobseeker Support,65775.0
20220601,Continuous Duration,More than one year,Jobseeker Support,104985.0
20220601,Gender,Male,Jobseeker Support,94038.0
20220601,Gender,Female,Jobseeker Support,75786.0
20220601,Gender,Gender Diverse,Jobseeker Support,936.0
20220601,Age Group,18-24 years,Jobseeker Support,34083.0
20220601,Age Group,25-39 years,Jobseeker Support,52845.0
20220601,Age Group,40-54 years,Jobseeker Support,47436.0
20220601,Age Group,55-64 years,Jobseeker Support,36396.0
20220601,Ethnic Group,European,Jobseeker Support,83121.0
20220601,Ethnic Group,Māori,Jobseeker Support,65124.0
20220601,Ethnic Group,Pacific Peoples,Jobseeker Support,19410.0
20220601,Ethnic Group,Asian,Jobseeker Support,9981.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Jobseeker Support,3189.0
20220601,Ethnic Group,Other ethnicity,Jobseeker Support,6066.0
20220601,Ethnic group,Ethnicity not specified,Jobseeker Support,6768.0
20220601,Continuous Duration,One year or less,Sole Parent Support,13953.0
20220601,Continuous Duration,More than one year,Sole Parent Support,58737.0
20220601,Gender,Male,Sole Parent Support,6285.0
20220601,Gender,Female,Sole Parent Support,66378.0
20220601,Gender,Gender Diverse,Sole Parent Support,24.0
20220601,Age Group,18-24 years,Sole Parent Support,9765.0
20220601,Age Group,25-39 years,Sole Parent Support,45876.0
20220601,Age Group,40-54 years,Sole Parent Support,16032.0
20220601,Age Group,55-64 years,Sole Parent Support,1014.0
20220601,Ethnic Group,European,Sole Parent Support,30963.0
20220601,Ethnic Group,Māori,Sole Parent Support,34872.0
20220601,Ethnic Group,Pacific Peoples,Sole Parent Support,10797.0
20220601,Ethnic Group,Asian,Sole Parent Support,2649.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Sole Parent Support,975.0
20220601,Ethnic Group,Other ethnicity,Sole Parent Support,1158.0
20220601,Ethnic group,Ethnicity not specified,Sole Parent Support,2742.0
20220601,Continuous Duration,One year or less,Supported Living Payment,5796.0
20220601,Continuous Duration,More than one year,Supported Living Payment,91914.0
20220601,Gender,Male,Supported Living Payment,48408.0
20220601,Gender,Female,Supported Living Payment,49167.0
20220601,Gender,Gender Diverse,Supported Living Payment,135.0
20220601,Age Group,18-24 years,Supported Living Payment,7404.0
20220601,Age Group,25-39 years,Supported Living Payment,19737.0
20220601,Age Group,40-54 years,Supported Living Payment,31881.0
20220601,Age Group,55-64 years,Supported Living Payment,38691.0
20220601,Ethnic Group,European,Supported Living Payment,58623.0
20220601,Ethnic Group,Māori,Supported Living Payment,25743.0
20220601,Ethnic Group,Pacific Peoples,Supported Living Payment,7251.0
20220601,Ethnic Group,Asian,Supported Living Payment,3669.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Supported Living Payment,978.0
20220601,Ethnic Group,Other ethnicity,Supported Living Payment,4368.0
20220601,Ethnic group,Ethnicity not specified,Supported Living Payment,5460.0
20220601,Continuous Duration,One year or less,Youth Payment and Young Parent Payment,519.0
20220601,Continuous Duration,More than one year,Youth Payment and Young Parent Payment,735.0
20220601,Gender,Male,Youth Payment and Young Parent Payment,90.0
20220601,Gender,Female,Youth Payment and Young Parent Payment,1161.0
20220601,Gender,Gender Diverse,Youth Payment and Young Parent Payment,3.0
20220601,Age Group,18-24 years,Youth Payment and Young Parent Payment,1254.0
20220601,Age Group,25-39 years,Youth Payment and Young Parent Payment,
20220601,Age Group,40-54 years,Youth Payment and Young Parent Payment,
20220601,Age Group,55-64 years,Youth Payment and Young Parent Payment,
20220601,Ethnic Group,European,Youth Payment and Young Parent Payment,288.0
20220601,Ethnic Group,Māori,Youth Payment and Young Parent Payment,720.0
20220601,Ethnic Group,Pacific Peoples,Youth Payment and Young Parent Payment,174.0
20220601,Ethnic Group,Asian,Youth Payment and Young Parent Payment,9.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Youth Payment and Young Parent Payment,9.0
20220601,Ethnic Group,Other ethnicity,Youth Payment and Young Parent Payment,15.0
20220601,Ethnic group,Ethnicity not specified,Youth Payment and Young Parent Payment,138.0
20220601,Continuous Duration,One year or less,Other Main Benefits,1089.0
20220601,Continuous Duration,More than one year,Other Main Benefits,1122.0
20220601,Gender,Male,Other Main Benefits,909.0
20220601,Gender,Female,Other Main Benefits,1293.0
20220601,Gender,Gender Diverse,Other Main Benefits,9.0
20220601,Age Group,18-24 years,Other Main Benefits,294.0
20220601,Age Group,25-39 years,Other Main Benefits,909.0
20220601,Age Group,40-54 years,Other Main Benefits,603.0
20220601,Age Group,55-64 years,Other Main Benefits,405.0
20220601,Ethnic Group,European,Other Main Benefits,612.0
20220601,Ethnic Group,Māori,Other Main Benefits,600.0
20220601,Ethnic Group,Pacific Peoples,Other Main Benefits,315.0
20220601,Ethnic Group,Asian,Other Main Benefits,300.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Other Main Benefits,105.0
20220601,Ethnic Group,Other ethnicity,Other Main Benefits,129.0
20220601,Ethnic group,Ethnicity not specified,Other Main Benefits,372.0
20220601,Continuous Duration,One year or less,Total,87132.0
20220601,Continuous Duration,More than one year,Total,257490.0
20220601,Gender,Male,Total,149733.0
20220601,Gender,Female,Total,193788.0
20220601,Gender,Gender Diverse,Total,1104.0
20220601,Age Group,18-24 years,Total,52803.0
20220601,Age Group,25-39 years,Total,119367.0
20220601,Age Group,40-54 years,Total,95946.0
20220601,Age Group,55-64 years,Total,76506.0
20220601,Ethnic Group,European,Total,173610.0
20220601,Ethnic Group,Māori,Total,127062.0
20220601,Ethnic Group,Pacific Peoples,Total,37950.0
20220601,Ethnic Group,Asian,Total,16608.0
20220601,Ethnic Group,Middle Eastern/Latin American/African,Total,5259.0
20220601,Ethnic Group,Other ethnicity,Total,11736.0
20220601,Ethnic group,Ethnicity not specified,Total,15477.0
20231201,Continuous duration,One year or less,Jobseeker Support,80838.0
20231201,Continuous duration,More than one year,Jobseeker Support,108957.0
20231201,Gender,Male,Jobseeker Support,107130.0
20231201,Gender,Female,Jobseeker Support,81096.0
20231201,Gender,Gender Diverse,Jobseeker Support,1569.0
20231201,Age group,18-24 years,Jobseeker Support,39666.0
20231201,Age group,25-39 years,Jobseeker Support,60561.0
20231201,Age group,40-54 years,Jobseeker Support,50889.0
20231201,Age group,55-64 years,Jobseeker Support,38679.0
20231201,Ethnic group,European,Jobseeker Support,88947.0
20231201,Ethnic group,Māori,Jobseeker Support,73224.0
20231201,Ethnic group,Pacific Peoples,Jobseeker Support,22449.0
20231201,Ethnic group,Asian,Jobseeker Support,10830.0
20231201,Ethnic group,Middle Eastern/Latin American/African,Jobseeker Support,3672.0
20231201,Ethnic group,Other ethnicity,Jobseeker Support,7227.0
20231201,Ethnic group,Ethnicity not specified,Jobseeker Support,9879.0
20231201,Continuous duration,One year or less,Sole Parent Support,15048.0
20231201,Continuous duration,More than one year,Sole Parent Support,61125.0
20231201,Gender,Male,Sole Parent Support,6840.0
20231201,Gender,Female,Sole Parent Support,69297.0
20231201,Gender,Gender Diverse,Sole Parent Support,36.0
20231201,Age group,18-24 years,Sole Parent Support,9912.0
20231201,Age group,25-39 years,Sole Parent Support,48834.0
20231201,Age group,40-54 years,Sole Parent Support,16455.0
20231201,Age group,55-64 years,Sole Parent Support,966.0
20231201,Ethnic group,European,Sole Parent Support,31590.0
20231201,Ethnic group,Māori,Sole Parent Support,36918.0
20231201,Ethnic group,Pacific Peoples,Sole Parent Support,11631.0
20231201,Ethnic group,Asian,Sole Parent Support,2559.0
20231201,Ethnic group,Middle Eastern/Latin American/African,Sole Parent Support,1011.0
20231201,Ethnic group,Other ethnicity,Sole Parent Support,1299.0
20231201,Ethnic group,Ethnicity not specified,Sole Parent Support,3348.0
